"Activity Stream","Activity Stream"
"Activity Stream Overlay","Activity Stream Overlay"
"Activity Types","Activity Types"
"Allowed values: between 100px and 2000px, between 5% and 100% (without suffix considered as pixels)","Allowed values: between 100px and 2000px, between 5% and 100% (without suffix considered as pixels)"
"Any valid HTML color in hexadecimal notation or simply by the name","Any valid HTML color in hexadecimal notation or simply by the name"
"Background Color","Background Color"
"Background Opacity","Background Opacity"
"Bottom Center","Bottom Center"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Category is being viewed","Category is being viewed"
"Current store","Current store"
"Current store view","Current store view"
"Current website","Current website"
"Customer has registered","Customer has registered"
"Customer has logged in","Customer has logged in"
"Customer proceeds to checkout","Customer proceeds to checkout"
"Customer has subscribed to newsletter","Customer has subscribed to newsletter"
"Customer is viewing shopping cart","Customer is viewing shopping cart"
"Default Activity Stream widget template","Default Activity Stream widget template"
"Display Activities From","Display Activities From"
"Display all","Display all"
"Enable Extension","Enable Extension"
"General","General"
"Integer value between 1 and 50","Integer value between 1 and 50"
"Integer value between 2 and 30, specified in seconds","Integer value between 2 and 30, specified in seconds"
"Item has been added to comparison list","Item has been added to comparison list"
"Item has been added to shopping cart","Item has been added to shopping cart"
"Item has been added to wishlist","Item has been added to wishlist"
"Link Color","Link Color"
"None","None"
"Number of Activities to Display","Number of Activities to Display"
"Overlay Block Width","Overlay Block Width"
"Overlay Position","Overlay Position"
"Product has been purchased","Product has been purchased"
"Product is being viewed","Product is being viewed"
"Product tag has been added","Product tag has been added"
"Resource is not set.","Resource is not set."
"Review has been added","Review has been added"
"Search has been performed","Search has been performed"
"Status","Status"
"Template","Template"
"Text Color","Text Color"
"Top Center","Top Center"
"Top Left","Top Left"
"Top Right","Top Right"
"Update Period","Update Period"
"Value between 10% and 100% (also accepted without percent sign)","Value between 10% and 100% (also accepted without percent sign)"
"Variables available for inclusion: {Name}","Variables available for inclusion: {Name}"
"Variables available for inclusion: {Name}, {search_term}","Variables available for inclusion: {Name}, {search_term}"
"Variables available for inclusion: {Name}, {tag}","Variables available for inclusion: {Name}, {tag}"
"Variables available for inclusion: {Name}, {Product_title}","Variables available for inclusion: {Name}, {Product_title}"
"Variables available for inclusion: {Name}, {Category_title}","Variables available for inclusion: {Name}, {Category_title}"
"Visible to Guests","Visible to Guests"
"{Activitystream_CATEGORY_NAME_default_value}",""
"{Activitystream_CUSTOMER_NAME_default_value}","Visitor"
"{Activitystream_PRODUCT_TITLE_default_value}",""
"{Activitystream_SEARCH_TERM_default_value}","something"
"{Activitystream_TAG_NAME_default_value}","a"
"{Activitystream_TAGGED_PRODUCT_TITLE_default_value}","a product"
"{Activitystream_REVIEWED_PRODUCT_TITLE_default_value}","a product"
